time,open,high,low,close,tick_volume,spread,real_volume,src
2026-08-17 23:23:00,4417.00,4417.17,4416.50,4417.09,111,25,0,mt5bar
2026-08-17 23:24:00,4417.07,4417.87,4416.42,4417.81,91,25,0,mt5bar
2026-08-17 23:25:00,4417.81,4419.90,4417.65,4419.73,145,24,0,mt5bar
2026-08-17 23:26:00,4419.74,4420.85,4419.64,4420.57,148,21,0,mt5bar
2026-08-17 23:27:00,4420.62,4421.79,4420.21,4420.79,110,23,0,mt5bar
2026-08-17 23:28:00,4420.78,4420.78,4419.70,4420.20,136,24,0,mt5bar
2026-08-17 23:29:00,4420.19,4420.31,4419.71,4420.29,78,25,0,mt5bar
2026-08-17 23:30:00,4420.29,4421.46,4419.96,4421.43,93,22,0,mt5bar
2026-08-17 23:31:00,4421.13,4421.86,4420.83,4421.76,136,24,0,mt5bar
2026-08-17 23:32:00,4421.74,4422.12,4421.54,4421.55,119,24,0,mt5bar
2026-08-17 23:33:00,4421.51,4421.55,4421.05,4421.14,84,24,0,mt5bar
2026-08-17 23:34:00,4421.12,4422.22,4420.36,4422.07,157,25,0,mt5bar
2026-08-17 23:35:00,4422.05,4422.08,4421.21,4421.67,92,22,0,mt5bar
2026-08-17 23:36:00,4421.66,4422.20,4421.66,4422.07,88,24,0,mt5bar
2026-08-17 23:37:00,4422.14,4422.14,4421.31,4421.46,105,24,0,mt5bar
2026-08-17 23:38:00,4421.43,4422.11,4421.29,4422.01,124,22,0,mt5bar
2026-08-17 23:39:00,4421.88,4421.88,4420.62,4421.29,140,24,0,mt5bar
2026-08-17 23:40:00,4421.27,4421.49,4420.35,4420.64,158,20,0,mt5bar
2026-08-17 23:41:00,4420.65,4420.72,4420.17,4420.52,142,23,0,mt5bar
2026-08-17 23:42:00,4420.51,4421.64,4420.51,4421.51,77,25,0,mt5bar
2026-08-17 23:43:00,4421.49,4422.59,4421.34,4422.48,237,22,0,mt5bar
2026-08-17 23:44:00,4422.47,4422.89,4422.30,4422.75,174,23,0,mt5bar
2026-08-17 23:45:00,4422.65,4422.96,4421.72,4422.22,224,23,0,mt5bar
2026-08-17 23:46:00,4422.21,4423.01,4421.58,4422.26,184,22,0,mt5bar
2026-08-17 23:47:00,4422.25,4423.10,4422.01,4422.50,171,21,0,mt5bar
2026-08-17 23:48:00,4422.49,4423.08,4422.22,4422.98,108,21,0,mt5bar
2026-08-17 23:49:00,4422.95,4423.84,4422.86,4423.80,160,20,0,mt5bar
2026-08-17 23:50:00,4423.79,4424.04,4423.22,4423.40,128,21,0,mt5bar
2026-08-17 23:51:00,4423.52,4424.08,4423.35,4424.04,158,20,0,mt5bar
2026-08-17 23:52:00,4424.07,4424.30,4423.86,4424.24,93,21,0,mt5bar
2026-08-17 23:53:00,4424.11,4424.17,4422.62,4423.36,175,22,0,mt5bar
2026-08-17 23:54:00,4423.35,4424.22,4422.80,4423.61,173,21,0,mt5bar
2026-08-17 23:55:00,4423.61,4424.50,4423.57,4424.28,112,20,0,mt5bar
2026-08-17 23:56:00,4424.31,4424.31,4423.14,4423.73,128,21,0,mt5bar
2026-08-17 23:57:00,4423.72,4424.53,4423.63,4424.25,129,21,0,mt5bar
2026-08-17 23:58:00,4424.23,4424.39,4423.36,4424.15,101,21,0,mt5bar
2026-08-17 23:59:00,4424.16,4425.88,4424.09,4425.75,217,20,0,mt5bar
2026-08-18 00:00:00,4425.76,4429.83,4422.54,4422.77,398,21,0,mt5bar
2026-08-18 00:01:00,4422.62,4423.10,4421.15,4421.76,298,23,0,mt5bar
2026-08-18 00:02:00,4421.77,4422.32,4420.17,4420.26,249,21,0,mt5bar
2026-08-18 00:03:00,4420.25,4423.68,4419.23,4423.68,272,20,0,mt5bar
2026-08-18 00:04:00,4423.66,4425.32,4423.51,4425.28,227,24,0,mt5bar
2026-08-18 00:05:00,4425.28,4426.18,4423.89,4423.91,247,20,0,mt5bar
2026-08-18 00:06:00,4423.90,4424.35,4423.10,4424.34,192,24,0,mt5bar
2026-08-18 00:07:00,4424.31,4424.74,4422.64,4423.67,161,21,0,mt5bar
2026-08-18 00:08:00,4423.69,4424.46,4421.93,4421.93,193,24,0,mt5bar
2026-08-18 00:09:00,4421.91,4422.28,4420.04,4420.15,213,24,0,mt5bar
2026-08-18 00:10:00,4420.17,4420.38,4419.35,4419.46,151,22,0,mt5bar
2026-08-18 00:11:00,4419.44,4421.34,4419.20,4420.38,171,25,0,mt5bar
2026-08-18 00:12:00,4420.32,4421.96,4420.32,4420.99,159,22,0,mt5bar
2026-08-18 00:13:00,4420.81,4420.81,4418.96,4419.46,160,25,0,mt5bar
2026-08-18 00:14:00,4419.48,4422.35,4419.10,4421.64,183,21,0,mt5bar
2026-08-18 00:15:00,4421.59,4423.70,4420.86,4423.17,216,20,0,mt5bar
2026-08-18 00:16:00,4423.09,4423.80,4421.51,4422.74,282,20,0,mt5bar
2026-08-18 00:17:00,4422.76,4426.21,4422.49,4425.85,222,21,0,mt5bar
2026-08-18 00:18:00,4425.82,4426.39,4423.87,4425.21,236,20,0,mt5bar
2026-08-18 00:19:00,4425.16,4428.19,4425.12,4426.96,315,20,0,mt5bar
2026-08-18 00:20:00,4427.02,4427.02,4422.89,4423.68,297,21,0,mt5bar
2026-08-18 00:21:00,4423.69,4426.90,4423.50,4426.42,211,21,0,mt5bar
2026-08-18 00:22:00,4426.45,4427.53,4425.73,4426.44,209,21,0,mt5bar
2026-08-18 00:23:00,4426.42,4430.67,4425.78,4430.30,289,20,0,mt5bar
2026-08-18 00:24:00,4430.32,4431.24,4427.25,4427.95,327,21,0,mt5bar
2026-08-18 00:25:00,4427.95,4428.45,4426.39,4427.52,210,23,0,mt5bar
2026-08-18 00:26:00,4427.55,4428.68,4425.19,4427.89,277,21,0,mt5bar
